trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.5, 'e': 0.9249999999999999}",35,0,-182.55349355337896,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9219999999999999}",25,6,-132.6149079628692,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.9189999999999999}",20,0,-134.71260942531154,"{0: 9, 1: 5, 2: 2, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9159999999999999}",25,0,-57.87085296451862,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9129999999999999}",25,0,-120.09554213681604,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,5,-49.68157707227813,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9069999999999999}",25,0,-165.33513008727306,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9039999999999999}",20,0,-153.06896075600596,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9009999999999999}",25,0,-129.4852561219545,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8979999999999999}",20,0,-120.78223202215932,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-87.46283969626431,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8919999999999999}",25,0,-197.88947639408502,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8889999999999999}",25,0,-139.9142380823996,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8859999999999999}",20,0,-145.6649276990259,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8829999999999999}",20,0,-197.85053540171452,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-131.73213769763808,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8769999999999999}",25,0,-213.44181516601432,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.8739999999999999}",30,0,-140.6055414799803,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8709999999999999}",30,0,-175.73541228813093,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.8679999999999999}",20,0,-135.2153691928148,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-145.93994873664582,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.8619999999999999}",20,0,-66.11555535791851,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.8589999999999999}",30,21,-6.104580561244196,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.8559999999999999}",20,0,-135.90311432031143,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
